No,FI10501J.PV,FI10301J.PV,PI10105.PV,PI10103.PV,TI10101.PV,TI10103.PV,PI10101.PV,PIP101A1.PV,PIP101B1.PV,WIP101A.PV,WIP101B.PV,EIP101A.PV,EIP101B.PV,FIC10101.PV,FIC10101.OP,FIC10101.SP,LIC10101.PV,LIC10101.OP,LIC10101.SP,VX1YHQ.OP,VX2YHQ.OP,VX9D101.OP,VX2D101.OP,VX1P101.OP,PSV10101AB.OP,DS_P101.OP,XL_P101.OP,label
31,60.850382,0,1.895065,0,38.171874,24.911191,0.801932,2.842656,0,89.312618,0,14.764594,0,60.620499,33.722358,60.583925,49.954962,33.657736,50,27,0,0,0,0,0,0,0,0
32,60.553265,0,1.892635,0,37.919812,25.031745,0.799451,2.840006,0,89.422232,0,14.804044,0,60.745849,33.761167,60.793424,50.01309,33.774125,50,27,0,0,0,0,0,0,0,0
33,60.625766,0,1.892404,0,37.838655,25.045461,0.800992,2.845461,0,89.193881,0,14.818484,0,60.898235,33.827153,61.082025,50.092793,33.934458,50,27,0,0,0,0,0,0,0,0
34,60.623801,0,1.909397,0,38.015743,24.913674,0.800753,2.850067,0,88.676826,0,14.887432,0,60.776005,33.581423,60.429971,49.912107,33.572206,50,27,0,0,0,0,0,0,0,0
35,60.516461,0,1.893337,0,37.861201,25.111977,0.7999,2.838079,0,89.295493,0,14.812604,0,61.057272,33.594613,60.760689,50.003953,33.755938,50,27,0,0,0,0,0,0,0,0
36,60.407863,0,1.901285,0,37.903139,25.132318,0.803684,2.833126,0,88.938723,0,14.848731,0,60.453788,33.855808,60.726699,49.994539,33.737055,50,27,0,0,0,0,0,0,0,0
37,60.518397,0,1.905154,0,37.979954,25.035422,0.799386,2.863551,0,89.26494,0,14.70522,0,60.701758,33.883421,61.015858,50.074488,33.897699,50,27,0,0,0,0,0,0,0,0
38,60.435122,0,1.907306,0,37.827381,25.124267,0.799196,2.843229,0,89.191062,0,14.862158,0,60.653635,33.924659,61.03509,50.079433,33.908384,50,27,0,0,0,0,0,0,0,0
39,60.896792,0,1.907845,0,37.836932,25.043875,0.801774,2.852354,0,88.918526,0,14.831007,0,60.650264,33.712549,60.560458,49.947852,33.644699,50,27,0,0,0,0,0,0,0,0
40,60.854856,0,1.901567,0,38.1325,24.865322,0.797976,2.837664,0,89.168968,0,14.911471,0,60.686922,33.827818,60.845875,50.026999,33.803264,50,27,0,0,0,0,0,0,0,0
41,60.677726,0,1.891845,0,37.935549,25.012072,0.798021,2.846307,0,89.202273,0,14.877667,0,60.927952,33.54411,60.478524,49.925331,33.59918,50,27,0,0,0,0,0,0,0,0
42,60.63634,0,1.900086,0,38.042796,24.900352,0.795189,2.871437,0,89.471134,0,14.901161,0,60.602891,33.74729,60.610134,49.962079,33.672297,50,27,0,0,0,0,0,0,0,0
43,60.323762,0,1.914154,0,37.958732,24.924906,0.801537,2.850634,0,88.884315,0,14.864701,0,61.036659,33.691965,60.926749,50.049778,33.848194,50,27,0,0,0,0,0,0,0,0
44,60.71018,0,1.898325,0,37.912907,24.955487,0.7984,2.844324,0,89.350334,0,14.813232,0,60.802505,33.817851,60.965005,50.060104,33.869447,50,27,0,0,0,0,0,0,0,0
45,60.962442,0,1.903067,0,38.006735,24.993172,0.804492,2.849107,0,89.070686,0,14.832754,0,60.64086,33.830103,60.819047,50.019463,33.78836,50,27,0,0,0,0,0,0,0,0
46,60.866989,0,1.893404,0,38.018182,25.01426,0.794865,2.855079,0,89.413253,0,14.886573,0,60.634269,33.902202,60.953405,50.056502,33.863003,50,27,0,0,0,0,0,0,0,0
47,60.63777,0,1.905929,0,37.917701,24.976196,0.799145,2.849319,0,89.163361,0,14.866149,0,61.048819,33.700749,60.923069,50.047837,33.846149,50,27,0,0,0,0,0,0,0,0
48,60.744133,0,1.898572,0,37.958774,25.125114,0.798173,2.860307,0,88.800841,0,14.805868,0,61.059556,33.465279,60.44497,49.915454,33.580539,50,27,0,0,0,0,0,0,0,0
49,60.626573,0,1.896429,0,37.863262,25.011402,0.797019,2.839302,0,89.042892,0,14.803776,0,60.693293,33.738203,60.692817,49.984378,33.718232,50,27,0,0,0,0,0,0,0,0
50,61.05799,0,1.896849,0,37.984338,24.927548,0.797038,2.834854,0,88.782531,0,14.860744,0,61.009532,33.646342,60.815318,50.018315,33.786288,50,27,0,0,0,0,0,0,0,0
51,60.773367,0,1.899644,0,37.831616,25.015017,0.800897,2.847551,0,89.052503,0,14.889569,0,60.430844,33.761003,60.49063,49.928482,33.605906,50,27,0,0,0,0,0,0,0,0
52,60.579611,0,1.904587,0,37.764669,24.993257,0.801294,2.850432,0,89.038688,0,14.817015,0,60.331798,33.937699,60.760567,50.003447,33.75587,50,27,0,0,0,0,0,0,0,0
53,60.871092,0,1.895494,0,38.034347,24.986258,0.79535,2.828196,0,88.908151,0,14.895719,0,60.884511,33.64494,60.668943,49.978105,33.704969,50,27,0,0,0,0,0,0,0,0
54,60.83011,0,1.906117,0,37.957159,25.057761,0.799651,2.856032,0,88.97512,0,14.777285,0,60.721239,33.537871,60.293296,49.874387,33.496276,50,27,0,0,0,0,0,0,0,0
55,61.216651,0,1.890026,0,37.893665,24.936974,0.798406,2.862322,0,88.905883,0,14.874675,0,60.582763,33.844767,60.828925,50.023057,33.793847,50,27,0,0,0,0,0,0,0,0
56,60.600451,0,1.910219,0,37.964386,24.940926,0.802368,2.831314,0,89.146103,0,14.849648,0,60.789857,33.858956,61.050564,50.084203,33.91698,50,27,0,0,0,0,0,0,0,0
57,60.945028,0,1.902228,0,37.959247,24.787144,0.800947,2.865012,0,88.601224,0,14.889392,0,60.811571,33.6671,60.651288,49.973426,33.69516,50,27,0,0,0,0,0,0,0,0
58,60.769917,0,1.894574,0,37.989457,25.116782,0.800635,2.843561,0,89.365591,0,14.917231,0,61.05336,33.738778,61.054289,50.084946,33.919049,50,27,0,0,0,0,0,0,0,0
59,60.549545,0,1.896987,0,37.964465,24.91059,0.801032,2.850031,0,89.054395,0,14.920932,0,60.772476,33.687656,60.665512,49.977067,33.703062,50,27,0,0,0,0,0,0,0,0
60,60.939315,0,1.908381,0,37.978995,24.897841,0.798206,2.846012,0,89.389821,0,14.779443,0,60.819844,33.486174,60.294565,49.874653,33.496981,50,27,0,0,0,0,0,0,0,0
61,60.729256,0,1.905988,0,38.115506,25.098802,0.799886,2.85484,0,88.874419,0,14.776595,0,60.799011,33.671858,60.698239,49.98685,33.721244,50,27,0,0,0,0,0,0,0,0
62,60.417146,0,1.890232,0,38.020558,24.989365,0.795733,2.846647,0,88.89028,0,14.835988,0,60.709659,33.697956,60.670234,49.979175,33.705685,50,27,0,0,0,0,0,0,0,0
63,60.91512,0,1.901311,0,38.078517,25.056777,0.80026,2.846461,0,88.963725,0,14.840538,0,60.852032,33.631905,60.675745,49.980802,33.708747,50,27,0,0,0,0,0,0,0,0
64,60.717187,0,1.903977,0,37.91824,24.920628,0.8002,2.863832,0,88.752243,0,14.805676,0,60.532699,33.83527,60.796404,50.014247,33.77578,50,27,0,0,0,0,0,0,0,0
65,60.240666,0,1.889499,0,38.09143,24.84008,0.800294,2.852994,0,88.996431,0,14.758919,0,60.560343,33.852587,60.844093,50.027357,33.802274,50,27,0,0,0,0,0,0,0,0
66,60.810764,0,1.90031,0,38.201086,25.070908,0.80023,2.852309,0,89.081618,0,14.809513,0,60.94855,33.631698,60.748628,50.000835,33.749238,50,27,0,0,0,0,0,0,0,0
67,60.770676,0,1.893231,0,38.00019,25.088523,0.798712,2.852042,0,89.085449,0,14.893604,0,60.599852,33.854884,60.883209,50.038028,33.824005,50,27,0,0,0,0,0,0,0,0
68,60.723636,0,1.905539,0,37.990709,24.961496,0.799406,2.850865,0,89.227086,0,14.799108,0,61.159156,33.591667,60.86958,50.034072,33.816433,50,27,0,0,0,0,0,0,0,0
69,60.880267,0,1.900674,0,38.057571,24.981812,0.798806,2.85363,0,89.190888,0,14.808645,0,60.7038,33.70265,60.666427,49.977752,33.703571,50,27,0,0,0,0,0,0,0,0
70,60.536913,0,1.900099,0,37.970239,25.031047,0.802728,2.846959,0,89.403707,0,14.799979,0,60.972025,33.596223,60.712494,49.990595,33.729163,50,27,0,0,0,0,0,0,0,0
71,60.789675,0,1.889764,0,38.177743,24.98393,0.800124,2.848144,0,89.050007,0,14.883664,0,60.879409,33.792366,61.049837,50.083882,33.916576,50,27,0,0,0,0,0,0,0,0
72,60.976064,0,1.890008,0,38.115032,24.97842,0.800239,2.845049,0,88.848955,0,14.871046,0,60.892063,33.697596,60.851933,50.028765,33.806629,50,27,0,0,0,0,0,0,0,0
73,60.396132,0,1.895679,0,38.019944,25.084799,0.796593,2.850721,0,88.960432,0,14.900215,0,60.681173,33.771516,60.799477,50.014124,33.777487,50,27,0,0,0,0,0,0,0,0
74,60.724133,0,1.898778,0,37.941312,25.070702,0.800441,2.84391,0,88.805234,0,14.876927,0,60.943224,33.673302,60.846964,50.027178,33.803869,50,27,0,0,0,0,0,0,0,0
75,60.465302,0,1.894401,0,37.713394,24.99464,0.798784,2.849185,0,88.55383,0,14.89429,0,60.534392,33.765597,60.638832,49.969516,33.68824,50,27,0,0,0,0,0,0,0,0
76,60.579191,0,1.887468,0,37.97767,25.011462,0.801497,2.851696,0,89.275825,0,14.893472,0,60.699201,33.641339,60.535009,49.940972,33.63056,50,27,0,0,0,0,0,0,0,0
77,60.342596,0,1.899518,0,38.085383,24.962323,0.801468,2.836658,0,89.678981,0,14.812965,0,60.756145,33.68703,60.698594,49.98648,33.721441,50,27,0,0,0,0,0,0,0,0
78,60.589492,0,1.902642,0,38.067373,25.03897,0.80173,2.848866,0,89.062448,0,14.772115,0,60.891453,33.753985,60.978731,50.063976,33.877073,50,27,0,0,0,0,0,0,0,0
79,60.566278,0,1.903656,0,38.042486,25.063846,0.802526,2.851807,0,89.671054,0,14.802082,0,60.620384,33.596696,60.370426,49.895524,33.539126,50,27,0,0,0,0,0,0,0,0
80,60.554349,0,1.90029,0,38.031647,24.971224,0.799933,2.856416,0,88.786398,0,14.922487,0,60.96406,33.398324,60.311283,49.879697,33.506269,50,27,0,0,0,0,0,0,0,0
81,60.88146,0,1.900265,0,37.925361,25.106553,0.803601,2.858721,0,88.925531,0,14.877312,0,60.780454,33.634966,60.667642,49.978792,33.704246,50,27,0,0,0,0,0,0,0,0
82,60.899411,0,1.909619,0,37.994172,25.032806,0.799632,2.840176,0,89.226848,0,14.723323,0,60.819184,33.518656,60.468081,49.92374,33.593378,50,27,0,0,0,0,0,0,0,0
83,60.648897,0,1.891782,0,38.130253,24.787446,0.803074,2.857327,0,89.033542,0,14.855466,0,60.788076,33.620572,60.673898,49.981006,33.707721,50,27,0,0,0,0,0,0,0,0
84,60.73288,0,1.901706,0,38.089299,24.968431,0.802648,2.83746,0,88.975195,0,14.702879,0,60.540826,33.761558,60.731175,49.996932,33.739542,50,27,0,0,0,0,0,0,0,0
85,60.577405,0,1.905179,0,37.842779,24.857093,0.797313,2.857264,0,89.166807,0,14.840776,0,60.36879,33.968783,60.984358,50.066926,33.880199,50,27,0,0,0,0,0,0,0,0
86,60.779453,0,1.894692,0,38.151358,24.888098,0.797483,2.855688,0,88.878185,0,14.798673,0,60.540348,33.7343,60.62283,49.966668,33.67935,50,27,0,0,0,0,0,0,0,0
